class,year,month,day
8.097000000000001,1792,10,1
5.306,1792,11,1
3.388,1792,12,1
0.5209999999999999,1793,1,1
4.745,1793,2,1
5.042,1793,3,1
8.642999999999999,1793,4,1
11.059,1793,5,1
13.145999999999999,1793,6,1
14.336,1793,7,1
13.16,1793,8,1
12.002,1793,9,1
8.392999999999999,1793,10,1
5.666,1793,11,1
2.037,1793,12,1
3.71,1794,1,1
3.605,1794,2,1
5.6960000000000015,1794,3,1
9.367,1794,4,1
12.376,1794,5,1
11.994000000000002,1794,6,1
12.874,1794,7,1
13.484000000000002,1794,8,1
11.895999999999999,1794,9,1
9.107999999999999,1794,10,1
5.284,1794,11,1
2.918,1794,12,1
2.7310000000000003,1795,1,1
4.39,1795,2,1
5.709,1795,3,1
8.918,1795,4,1
11.029000000000002,1795,5,1
13.293,1795,6,1
14.295,1795,7,1
13.14,1795,8,1
11.133,1795,9,1
7.786,1795,10,1
5.207000000000002,1795,11,1
2.573,1795,12,1
2.8440000000000003,1796,1,1
2.736,1796,2,1
3.477,1796,3,1
7.773,1796,4,1
11.273,1796,5,1
14.216,1796,6,1
14.314,1796,7,1
14.722,1796,8,1
12.012,1796,9,1
8.924,1796,10,1
5.702000000000001,1796,11,1
1.259,1796,12,1
4.396,1797,1,1
4.957,1797,2,1
4.056,1797,3,1
6.6,1797,4,1
10.417,1797,5,1
13.852,1797,6,1
14.107,1797,7,1
14.04,1797,8,1
12.459,1797,9,1
9.191,1797,10,1
4.777,1797,11,1
3.275,1797,12,1
2.6790000000000003,1798,1,1
3.213,1798,2,1
7.007999999999999,1798,3,1
8.083,1798,4,1
11.768999999999998,1798,5,1
13.245999999999999,1798,6,1
14.951,1798,7,1
14.754,1798,8,1
11.627,1798,9,1
8.655,1798,10,1
6.0310000000000015,1798,11,1
2.0269999999999997,1798,12,1
1.923,1799,1,1
2.0780000000000003,1799,2,1
3.986,1799,3,1
8.786,1799,4,1
11.353,1799,5,1
13.68,1799,6,1
14.869000000000002,1799,7,1
14.086,1799,8,1
12.311,1799,9,1
9.606,1799,10,1
5.904,1799,11,1
3.487,1799,12,1
2.815,1800,1,1
3.634,1800,2,1
4.452,1800,3,1
9.125,1800,4,1
11.097,1800,5,1
13.606,1800,6,1
13.763,1800,7,1
13.619000000000002,1800,8,1
10.795,1800,9,1
9.469,1800,10,1
5.572,1800,11,1
3.864,1800,12,1
2.6870000000000003,1801,1,1
3.149,1801,2,1
6.455,1801,3,1
7.404,1801,4,1
12.123,1801,5,1
12.536,1801,6,1
14.675999999999998,1801,7,1
13.187,1801,8,1
11.462,1801,9,1
9.099,1801,10,1
5.72,1801,11,1
4.577999999999999,1801,12,1
3.74,1802,1,1
2.8280000000000003,1802,2,1
5.2010000000000005,1802,3,1
7.6229999999999976,1802,4,1
10.457,1802,5,1
14.470999999999998,1802,6,1
14.628,1802,7,1
14.039,1802,8,1
11.787999999999998,1802,9,1
9.747,1802,10,1
5.535,1802,11,1
2.881,1802,12,1
0.6019999999999999,1803,1,1
1.443,1803,2,1
4.875,1803,3,1
9.291,1803,4,1
